tanggal,komoditas,lokasi,harga
2026-06-05,Beras Setra I/Premium,Rata-rata DKI Jakarta,16750
2026-06-05,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,21367
2026-06-05,Cabe Merah Keriting,Rata-rata DKI Jakarta,61986
2026-06-05,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,71533
2026-06-05,Cabe Rawit Merah,Rata-rata DKI Jakarta,84024
2026-06-05,Cabe Rawit Hijau,Rata-rata DKI Jakarta,62976
2026-06-05,Bawang Merah,Rata-rata DKI Jakarta,60274
2026-06-05,Bawang Putih,Rata-rata DKI Jakarta,41776
2026-06-05,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,153238
2026-06-05,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,148190
2026-06-05,Ayam Broiler/Ras,Rata-rata DKI Jakarta,42562
2026-06-05,Telur Ayam Ras,Rata-rata DKI Jakarta,27826
2026-06-05,Gula Pasir,Rata-rata DKI Jakarta,18569
2026-06-05,Tepung Terigu,Rata-rata DKI Jakarta,11417
2026-06-05,Garam Dapur,Rata-rata DKI Jakarta,4667
2026-06-05,Kentang (sedang),Rata-rata DKI Jakarta,19545
2026-06-05,Tomat Buah,Rata-rata DKI Jakarta,18914
2026-06-05,Kelapa Kupas,Rata-rata DKI Jakarta,14717
2026-06-05,Semangka,Rata-rata DKI Jakarta,13783
2026-06-05,Jeruk Medan,Rata-rata DKI Jakarta,31800
2026-06-05,Daging Kambing,Rata-rata DKI Jakarta,152000
2026-06-05,Daging Babi Berlemak,Rata-rata DKI Jakarta,106833
2026-06-05,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,44095
2026-06-05,Ikan Mas,Rata-rata DKI Jakarta,42103
2026-06-05,Ikan Lele,Rata-rata DKI Jakarta,30817
2026-06-05,Gas Elpiji 3kg,Rata-rata DKI Jakarta,20500
2026-06-05,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45000
2026-06-05,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,52250
2026-06-05,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13228
2026-06-05,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,11960
2026-06-05,Margarin Blueband Cup,Rata-rata DKI Jakarta,18450
2026-06-05,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10629
2026-06-05,Beras Medium,Rata-rata DKI Jakarta,13000
2026-06-05,Gula Pasir Kemasan Premium,Rata-rata DKI Jakarta,18938
2026-06-05,Minyak Goreng Kemasan Premium,Rata-rata DKI Jakarta,22792
2026-06-05,Minyak Goreng MINYAKITA,Rata-rata DKI Jakarta,17279
2026-06-05,Daging Sapi,Rata-rata DKI Jakarta,150000
2026-06-05,Cabe Rawit Ijo Besar,Rata-rata DKI Jakarta,49375
2026-06-05,Ikan Kembung,Rata-rata DKI Jakarta,45000
2026-06-05,Kacang Kedelai,Rata-rata DKI Jakarta,18889
2026-06-07,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15715
2026-06-07,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14300
2026-06-07,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13533
2026-06-07,Beras Muncul I,Rata-rata DKI Jakarta,15667
2026-06-07,Beras IR 42/Pera,Rata-rata DKI Jakarta,16095
2026-06-07,Beras Setra I/Premium,Rata-rata DKI Jakarta,16783
2026-06-07,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,21817
2026-06-07,Cabe Merah Keriting,Rata-rata DKI Jakarta,64167
2026-06-07,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,70250
2026-06-07,Cabe Rawit Merah,Rata-rata DKI Jakarta,83650
2026-06-07,Cabe Rawit Hijau,Rata-rata DKI Jakarta,62500
2026-06-07,Bawang Merah,Rata-rata DKI Jakarta,60323
2026-06-07,Bawang Putih,Rata-rata DKI Jakarta,42137
2026-06-07,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,151133
2026-06-07,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,148533
2026-06-07,Ayam Broiler/Ras,Rata-rata DKI Jakarta,41250
2026-06-07,Telur Ayam Ras,Rata-rata DKI Jakarta,27810
2026-06-07,Gula Pasir,Rata-rata DKI Jakarta,18637
2026-06-07,Tepung Terigu,Rata-rata DKI Jakarta,11658
2026-06-07,Garam Dapur,Rata-rata DKI Jakarta,4875
2026-06-07,Kentang (sedang),Rata-rata DKI Jakarta,19680
2026-06-07,Tomat Buah,Rata-rata DKI Jakarta,19417
2026-06-07,Kelapa Kupas,Rata-rata DKI Jakarta,15133
2026-06-07,Semangka,Rata-rata DKI Jakarta,13700
2026-06-07,Jeruk Medan,Rata-rata DKI Jakarta,32233
2026-06-07,Daging Kambing,Rata-rata DKI Jakarta,151667
2026-06-07,Daging Babi Berlemak,Rata-rata DKI Jakarta,111667
2026-06-07,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,43767
2026-06-07,Ikan Mas,Rata-rata DKI Jakarta,41900
2026-06-07,Ikan Lele,Rata-rata DKI Jakarta,30900
2026-06-07,Gas Elpiji 3kg,Rata-rata DKI Jakarta,20625
2026-06-07,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45000
2026-06-07,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,57500
2026-06-07,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13545
2026-06-07,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,12200
2026-06-07,Margarin Blueband Cup,Rata-rata DKI Jakarta,17933
2026-06-07,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10598
2026-06-07,Beras Medium,Rata-rata DKI Jakarta,14000
2026-06-07,Gula Pasir Kemasan Premium,Rata-rata DKI Jakarta,19250
2026-06-07,Minyak Goreng Kemasan Premium,Rata-rata DKI Jakarta,23250
2026-06-07,Minyak Goreng MINYAKITA,Rata-rata DKI Jakarta,16938
2026-06-07,Daging Sapi,Rata-rata DKI Jakarta,150000
2026-06-07,Cabe Rawit Ijo Besar,Rata-rata DKI Jakarta,45000
2026-06-07,Ikan Kembung,Rata-rata DKI Jakarta,48333
2026-06-07,Kacang Kedelai,Rata-rata DKI Jakarta,21000
2026-06-08,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15482
2026-06-08,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14669
2026-06-08,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13874
2026-06-08,Beras Muncul I,Rata-rata DKI Jakarta,15854
2026-06-08,Beras IR 42/Pera,Rata-rata DKI Jakarta,16361
2026-06-08,Beras Setra I/Premium,Rata-rata DKI Jakarta,16484
2026-06-08,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,21820
2026-06-08,Cabe Merah Keriting,Rata-rata DKI Jakarta,57793
2026-06-08,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,69933
2026-06-08,Cabe Rawit Merah,Rata-rata DKI Jakarta,79300
2026-06-08,Cabe Rawit Hijau,Rata-rata DKI Jakarta,62033
2026-06-08,Bawang Merah,Rata-rata DKI Jakarta,59527
2026-06-08,Bawang Putih,Rata-rata DKI Jakarta,42040
2026-06-08,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,152583
2026-06-08,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,148167
2026-06-08,Ayam Broiler/Ras,Rata-rata DKI Jakarta,42813
2026-06-08,Telur Ayam Ras,Rata-rata DKI Jakarta,27887
2026-06-08,Gula Pasir,Rata-rata DKI Jakarta,18527
2026-06-08,Tepung Terigu,Rata-rata DKI Jakarta,11427
2026-06-08,Garam Dapur,Rata-rata DKI Jakarta,4557
2026-06-08,Kentang (sedang),Rata-rata DKI Jakarta,19500
2026-06-08,Tomat Buah,Rata-rata DKI Jakarta,19060
2026-06-08,Kelapa Kupas,Rata-rata DKI Jakarta,14653
2026-06-08,Semangka,Rata-rata DKI Jakarta,13820
2026-06-08,Jeruk Medan,Rata-rata DKI Jakarta,31767
2026-06-08,Daging Kambing,Rata-rata DKI Jakarta,152900
2026-06-08,Daging Babi Berlemak,Rata-rata DKI Jakarta,103750
2026-06-08,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,44367
2026-06-08,Ikan Mas,Rata-rata DKI Jakarta,41920
2026-06-08,Ikan Lele,Rata-rata DKI Jakarta,30690
2026-06-08,Gas Elpiji 3kg,Rata-rata DKI Jakarta,20667
2026-06-08,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45000
2026-06-08,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,53250
2026-06-08,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13247
2026-06-08,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,12060
2026-06-08,Margarin Blueband Cup,Rata-rata DKI Jakarta,18040
2026-06-08,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10513
2026-06-08,Beras Medium,Rata-rata DKI Jakarta,13500
2026-06-08,Gula Pasir Kemasan Premium,Rata-rata DKI Jakarta,18771
2026-06-08,Minyak Goreng Kemasan Premium,Rata-rata DKI Jakarta,22958
2026-06-08,Minyak Goreng MINYAKITA,Rata-rata DKI Jakarta,17163
2026-06-08,Daging Sapi,Rata-rata DKI Jakarta,149583
2026-06-08,Cabe Rawit Ijo Besar,Rata-rata DKI Jakarta,46250
2026-06-08,Ikan Kembung,Rata-rata DKI Jakarta,45417
2026-06-08,Kacang Kedelai,Rata-rata DKI Jakarta,17917
2026-06-09,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15555
2026-06-09,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14600
2026-06-09,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13861
2026-06-09,Beras Muncul I,Rata-rata DKI Jakarta,15692
2026-06-09,Beras IR 42/Pera,Rata-rata DKI Jakarta,16310
2026-06-09,Beras Setra I/Premium,Rata-rata DKI Jakarta,16754
2026-06-09,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,21600
2026-06-09,Cabe Merah Keriting,Rata-rata DKI Jakarta,59240
2026-06-09,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,68450
2026-06-09,Cabe Rawit Merah,Rata-rata DKI Jakarta,81004
2026-06-09,Cabe Rawit Hijau,Rata-rata DKI Jakarta,60680
2026-06-09,Bawang Merah,Rata-rata DKI Jakarta,59731
2026-06-09,Bawang Putih,Rata-rata DKI Jakarta,42711
2026-06-09,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,152821
2026-06-09,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,148424
2026-06-09,Ayam Broiler/Ras,Rata-rata DKI Jakarta,42566
2026-06-09,Telur Ayam Ras,Rata-rata DKI Jakarta,27914
2026-06-09,Gula Pasir,Rata-rata DKI Jakarta,18572
2026-06-09,Tepung Terigu,Rata-rata DKI Jakarta,11563
2026-06-09,Garam Dapur,Rata-rata DKI Jakarta,4623
2026-06-09,Kentang (sedang),Rata-rata DKI Jakarta,19511
2026-06-09,Tomat Buah,Rata-rata DKI Jakarta,18945
2026-06-09,Kelapa Kupas,Rata-rata DKI Jakarta,14667
2026-06-09,Semangka,Rata-rata DKI Jakarta,13703
2026-06-09,Jeruk Medan,Rata-rata DKI Jakarta,31200
2026-06-09,Daging Kambing,Rata-rata DKI Jakarta,152833
2026-06-09,Daging Babi Berlemak,Rata-rata DKI Jakarta,106833
2026-06-09,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,44495
2026-06-09,Ikan Mas,Rata-rata DKI Jakarta,42040
2026-06-09,Ikan Lele,Rata-rata DKI Jakarta,30663
2026-06-09,Gas Elpiji 3kg,Rata-rata DKI Jakarta,20533
2026-06-09,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45000
2026-06-09,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,51250
2026-06-09,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13318
2026-06-09,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,12100
2026-06-09,Margarin Blueband Cup,Rata-rata DKI Jakarta,18157
2026-06-09,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10642
2026-06-09,Beras Medium,Rata-rata DKI Jakarta,14000
2026-06-09,Gula Pasir Kemasan Premium,Rata-rata DKI Jakarta,19063
2026-06-09,Minyak Goreng Kemasan Premium,Rata-rata DKI Jakarta,22625
2026-06-09,Minyak Goreng MINYAKITA,Rata-rata DKI Jakarta,17604
2026-06-09,Daging Sapi,Rata-rata DKI Jakarta,150000
2026-06-09,Cabe Rawit Ijo Besar,Rata-rata DKI Jakarta,46875
2026-06-09,Ikan Kembung,Rata-rata DKI Jakarta,46250
2026-06-09,Kacang Kedelai,Rata-rata DKI Jakarta,17583
2026-06-11,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15729
2026-06-11,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14733
2026-06-11,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13909
2026-06-11,Beras Muncul I,Rata-rata DKI Jakarta,15560
2026-06-11,Beras IR 42/Pera,Rata-rata DKI Jakarta,16548
2026-06-11,Beras Setra I/Premium,Rata-rata DKI Jakarta,16904
2026-06-11,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,21684
2026-06-11,Cabe Merah Keriting,Rata-rata DKI Jakarta,56907
2026-06-11,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,70067
2026-06-11,Cabe Rawit Merah,Rata-rata DKI Jakarta,80137
2026-06-11,Cabe Rawit Hijau,Rata-rata DKI Jakarta,60766
2026-06-11,Bawang Merah,Rata-rata DKI Jakarta,58465
2026-06-11,Bawang Putih,Rata-rata DKI Jakarta,42742
2026-06-11,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,152955
2026-06-11,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,148309
2026-06-11,Ayam Broiler/Ras,Rata-rata DKI Jakarta,43524
2026-06-11,Telur Ayam Ras,Rata-rata DKI Jakarta,27961
2026-06-11,Gula Pasir,Rata-rata DKI Jakarta,18609
2026-06-11,Tepung Terigu,Rata-rata DKI Jakarta,11323
2026-06-11,Garam Dapur,Rata-rata DKI Jakarta,4582
2026-06-11,Kentang (sedang),Rata-rata DKI Jakarta,19501
2026-06-11,Tomat Buah,Rata-rata DKI Jakarta,19178
2026-06-11,Kelapa Kupas,Rata-rata DKI Jakarta,14697
2026-06-11,Semangka,Rata-rata DKI Jakarta,13533
2026-06-11,Jeruk Medan,Rata-rata DKI Jakarta,31967
2026-06-11,Daging Kambing,Rata-rata DKI Jakarta,152900
2026-06-11,Daging Babi Berlemak,Rata-rata DKI Jakarta,106167
2026-06-11,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,43143
2026-06-11,Ikan Mas,Rata-rata DKI Jakarta,42370
2026-06-11,Ikan Lele,Rata-rata DKI Jakarta,30413
2026-06-11,Gas Elpiji 3kg,Rata-rata DKI Jakarta,20533
2026-06-11,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45000
2026-06-11,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,52250
2026-06-11,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13263
2026-06-11,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,12067
2026-06-11,Margarin Blueband Cup,Rata-rata DKI Jakarta,18130
2026-06-11,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10712
2026-06-11,Beras Medium,Rata-rata DKI Jakarta,13500
2026-06-11,Gula Pasir Kemasan Premium,Rata-rata DKI Jakarta,18875
2026-06-11,Minyak Goreng Kemasan Premium,Rata-rata DKI Jakarta,23021
2026-06-11,Minyak Goreng MINYAKITA,Rata-rata DKI Jakarta,17217
2026-06-11,Daging Sapi,Rata-rata DKI Jakarta,149375
2026-06-11,Cabe Rawit Ijo Besar,Rata-rata DKI Jakarta,45000
2026-06-11,Ikan Kembung,Rata-rata DKI Jakarta,45417
2026-06-11,Kacang Kedelai,Rata-rata DKI Jakarta,17917
2026-06-12,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15568
2026-06-12,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14727
2026-06-12,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13929
2026-06-12,Beras Muncul I,Rata-rata DKI Jakarta,15518
2026-06-12,Beras IR 42/Pera,Rata-rata DKI Jakarta,16377
2026-06-12,Beras Setra I/Premium,Rata-rata DKI Jakarta,17054
2026-06-12,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,22044
2026-06-12,Cabe Merah Keriting,Rata-rata DKI Jakarta,57290
2026-06-12,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,69417
2026-06-12,Cabe Rawit Merah,Rata-rata DKI Jakarta,79394
2026-06-12,Cabe Rawit Hijau,Rata-rata DKI Jakarta,61137
2026-06-12,Bawang Merah,Rata-rata DKI Jakarta,58331
2026-06-12,Bawang Putih,Rata-rata DKI Jakarta,43328
2026-06-12,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,152821
2026-06-12,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,148524
2026-06-12,Ayam Broiler/Ras,Rata-rata DKI Jakarta,42337
2026-06-12,Telur Ayam Ras,Rata-rata DKI Jakarta,27926
2026-06-12,Gula Pasir,Rata-rata DKI Jakarta,18624
2026-06-12,Tepung Terigu,Rata-rata DKI Jakarta,11415
2026-06-12,Garam Dapur,Rata-rata DKI Jakarta,4509
2026-06-12,Kentang (sedang),Rata-rata DKI Jakarta,19619
2026-06-12,Tomat Buah,Rata-rata DKI Jakarta,19209
2026-06-12,Kelapa Kupas,Rata-rata DKI Jakarta,14587
2026-06-12,Semangka,Rata-rata DKI Jakarta,13707
2026-06-12,Jeruk Medan,Rata-rata DKI Jakarta,31767
2026-06-12,Daging Kambing,Rata-rata DKI Jakarta,152900
2026-06-12,Daging Babi Berlemak,Rata-rata DKI Jakarta,106167
2026-06-12,Ikan Bandeng (sedang),Rata-rata DKI Jakarta,43702
2026-06-12,Ikan Mas,Rata-rata DKI Jakarta,41953
2026-06-12,Ikan Lele,Rata-rata DKI Jakarta,30373
2026-06-12,Gas Elpiji 3kg,Rata-rata DKI Jakarta,20533
2026-06-12,Susu Bubuk Bendera 400gr,Rata-rata DKI Jakarta,45000
2026-06-12,Susu Bubuk Dancow 400gr,Rata-rata DKI Jakarta,41800
2026-06-12,Susu Kental Bendera 200gr,Rata-rata DKI Jakarta,13263
2026-06-12,Susu Kental Enak 200gr,Rata-rata DKI Jakarta,12067
2026-06-12,Margarin Blueband Cup,Rata-rata DKI Jakarta,18130
2026-06-12,Margarin Blueband Sachet,Rata-rata DKI Jakarta,10642
2026-06-12,Beras Medium,Rata-rata DKI Jakarta,13500
2026-06-12,Gula Pasir Kemasan Premium,Rata-rata DKI Jakarta,18896
2026-06-12,Minyak Goreng Kemasan Premium,Rata-rata DKI Jakarta,22729
2026-06-12,Minyak Goreng MINYAKITA,Rata-rata DKI Jakarta,17217
2026-06-12,Daging Sapi,Rata-rata DKI Jakarta,149583
2026-06-12,Cabe Rawit Ijo Besar,Rata-rata DKI Jakarta,44375
2026-06-12,Ikan Kembung,Rata-rata DKI Jakarta,45417
2026-06-12,Kacang Kedelai,Rata-rata DKI Jakarta,16292
2026-06-13,Beras IR. I (IR 64),Rata-rata DKI Jakarta,15581
2026-06-13,Beras IR. II (IR 64) Ramos,Rata-rata DKI Jakarta,14571
2026-06-13,Beras IR. III (IR 64),Rata-rata DKI Jakarta,13862
2026-06-13,Beras Muncul I,Rata-rata DKI Jakarta,15583
2026-06-13,Beras IR 42/Pera,Rata-rata DKI Jakarta,16347
2026-06-13,Beras Setra I/Premium,Rata-rata DKI Jakarta,16135
2026-06-13,Minyak Goreng (Kuning/Curah),Rata-rata DKI Jakarta,21970
2026-06-13,Cabe Merah Keriting,Rata-rata DKI Jakarta,56455
2026-06-13,Cabe Merah Besar (TW),Rata-rata DKI Jakarta,67250
2026-06-13,Cabe Rawit Merah,Rata-rata DKI Jakarta,79000
2026-06-13,Cabe Rawit Hijau,Rata-rata DKI Jakarta,61283
2026-06-13,Bawang Merah,Rata-rata DKI Jakarta,58271
2026-06-13,Bawang Putih,Rata-rata DKI Jakarta,38371
2026-06-13,Daging Sapi Has (Paha Belakang),Rata-rata DKI Jakarta,153488
2026-06-13,Daging Sapi Murni (Semur),Rata-rata DKI Jakarta,148357
2026-06-13,Ayam Broiler/Ras,Rata-rata DKI Jakarta,42616
2026-06-13,Telur Ayam Ras,Rata-rata DKI Jakarta,28054
2026-06-13,Gula Pasir,Rata-rata DKI Jakarta,18622
